locode,name,country,aliases
CNSHA,Shanghai,CN,"Shanghai Port|SHA|Shanghai, China"
CNNGB,Ningbo,CN,"Ningbo Port|NGB"
CNSZN,Shenzhen,CN,"Shenzhen Port|Yantian|Shekou"
CNSHK,Shekou,CN,"Shekou Port"
CNYTN,Yantian,CN,"Yantian Port"
HKHKG,Hong Kong,HK,"Hong Kong Port|HKG|Hongkong"
SGSIN,Singapore,SG,"Singapore Port|SIN|PSA"
USLAX,Los Angeles,US,"LA|Los Angeles Port|POLA"
USLGB,Long Beach,US,"Long Beach Port"
USNYC,New York,US,"New York|NY|New York Port"
NLRTM,Rotterdam,NL,"Rotterdam Port|RTM"
DEHAM,Hamburg,DE,"Hamburg Port|HAM"
GBFXT,Felixstowe,GB,"Felixstowe Port"
AEJEA,Jebel Ali,AE,"Jebel Ali Port|Dubai Jebel Ali"
AUBNE,Brisbane,AU,"Brisbane Port"
AUMEL,Melbourne,AU,"Melbourne Port"
AUSYD,Sydney,AU,"Sydney Port|Port Botany"
JPTYO,Tokyo,JP,"Tokyo Port"
JPYOK,Yokohama,JP,"Yokohama Port"
KRINC,Incheon,KR,"Incheon Port"
KRPUS,Busan,KR,"Busan Port|Pusan"
MYPKG,Port Klang,MY,"Port Klang|Pelabuhan Klang"
THLCH,Laem Chabang,TH,"Laem Chabang Port"
VNSGN,Ho Chi Minh City,VN,"Saigon|Ho Chi Minh|Cat Lai"
IDJKT,Jakarta,ID,"Jakarta|Tanjung Priok"
INNSA,Nhava Sheva,IN,"Nhava Sheva|JNPT|Navi Mumbai"
BRSSZ,Santos,BR,"Santos Port"
ZADUR,Durban,ZA,"Durban Port"
EGALY,Alexandria,EG,"Alexandria Port"
